FIPS,State,County,Number Dentists,Dentist Rate,Dentist Ratio,Dentist Quartile,Number Uninsured,Percent Uninsured,Number Completed High School,Population,Number Unemployed,Labor Force,Number Limited Access to Healthy Foods,Number Adults Uninsured,Median Household Income,Percent Low birthweight
01000,Alabama,,2429,49,2026:1,,457718,12,2905059,3344006,131065,2230132,418731,425108,53958,10
01001,Alabama,Autauga,19,34,2955:1,2,4366,9,33587,37860,1262,25838,7106,4050,67565,10
01003,Alabama,Baldwin,112,49,2047:1,1,19085,11,140740,155563,5425,96763,14466,17611,71135,8
01005,Alabama,Barbour,9,37,2732:1,2,2194,13,13300,17797,605,8587,2865,2027,38866,12
01007,Alabama,Bibb,6,27,3689:1,3,1824,11,12931,15987,573,8640,102,1693,50907,10
01009,Alabama,Blount,11,19,5262:1,4,6663,14,32976,39814,1008,24661,1440,6076,55203,8
01011,Alabama,Bullock,2,20,4988:1,4,752,11,5084,6784,265,4818,3529,706,33124,15
01013,Alabama,Butler,7,36,2786:1,2,1755,12,11934,13820,801,9056,1449,1621,42268,13
01015,Alabama,Calhoun,77,68,1474:1,1,10767,12,67180,78967,3260,46240,18258,10100,50259,9
01017,Alabama,Chambers,7,21,4695:1,4,3178,12,19631,23771,1078,15865,2772,3001,39318,13
01019,Alabama,Cherokee,4,15,6574:1,4,2580,13,15855,19143,530,11513,1302,2409,50388,8
01021,Alabama,Chilton,13,29,3415:1,3,4995,14,24668,30153,974,19592,1907,4575,52693,9
01023,Alabama,Choctaw,6,48,2070:1,1,1158,12,7660,9263,308,4621,1808,1060,41649,12
01025,Alabama,Clarke,8,34,2911:1,2,2209,12,13799,16703,700,7769,4740,2052,44178,13
01027,Alabama,Clay,2,15,6556:1,4,1480,14,7615,9371,245,6083,414,1371,44763,8
01029,Alabama,Cleburne,,,,2,1506,13,8661,10538,262,5737,303,1357,50134,8
01031,Alabama,Coffee,18,34,2957:1,2,5604,13,30778,35936,944,21502,4491,5167,54203,9
01033,Alabama,Colbert,29,52,1911:1,1,4721,11,33487,39077,1550,23558,4806,4388,54185,11
01035,Alabama,Conecuh,2,17,5926:1,4,1112,12,7498,8826,331,4529,1758,1033,34664,14
01037,Alabama,Coosa,,,,2,891,11,6887,8281,242,4392,890,828,46509,15
01039,Alabama,Covington,14,38,2638:1,2,3608,13,22502,26366,738,15172,2070,3323,43544,11
01041,Alabama,Crenshaw,3,22,4560:1,3,1471,13,7633,9684,357,6253,1878,1338,45927,11
01043,Alabama,Cullman,41,49,2061:1,1,9008,13,47782,58084,1650,38310,2287,8408,51844,9
01045,Alabama,Dale,16,33,3060:1,2,4777,12,28599,33522,1009,20710,4420,4446,48493,8
